==============================================================================
fleetsimOSS.pl v2.00a
Command line: -offline
Run Date/Time: 2018-10-12 16:06:49
Running simulation.  Type 'Ctrl C' at anytime to end simulation.
Reading truck route info ...
Reading warehouse info...
Warehouse Name: Quidi Vidi Brewery; Lat: 47.58136; Long: -52.67638
Resetting all trucks...
[2018-10-12 16:06:49] Truck 0: 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:54] Truck 2: 47.58152,-52.67907; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:54] Truck 3: 47.58152,-52.67907; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:59] Truck 0: 47.59226,-52.68722; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:07:59] Truck 1: 47.58131,-52.68169; Accident=1; Door=1; TempC=19.8
[2018-10-12 16:07:59] Truck 2: 47.58146,-52.67918; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:07:59] Truck 3: 47.58160,-52.67898; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:08:04] Truck 0: 47.59376,-52.68800; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:04] Truck 1: 47.58131,-52.68169; Accident=1; Door=0; TempC=19.8
[2018-10-12 16:08:04] Truck 2: 47.58140,-52.67938; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:04] Truck 3: 47.58180,-52.67883; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:08:09] Truck 0: 47.59480,-52.68900; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:09] Truck 1: 47.58131,-52.68169; Accident=1; Door=0; TempC=19.8
[2018-10-12 16:08:09] Truck 2: 47.58135,-52.67971; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:09] Truck 3: 47.58195,-52.67875; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:08:14] Truck 0: 47.59541,-52.69030; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:14] Truck 1: 47.58131,-52.68169; Accident=1; Door=0; TempC=19.8
[2018-10-12 16:08:14] Truck 2: 47.58133,-52.68071; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:14] Truck 3: 47.58213,-52.67869; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:08:19] Truck 0: 47.59568,-52.69130; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:19] Truck 1: 47.58131,-52.68169; Accident=1; Door=0; TempC=19.8
[2018-10-12 16:08:19] Truck 2: 47.58136,-52.68124; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:19] Truck 3: 47.58229,-52.67867; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:24] Truck 0: 47.59592,-52.69263; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:24] Truck 1: 47.58131,-52.68169; Accident=0; Door=0; TempC=19.8
[2018-10-12 16:08:24] Truck 2: 47.58136,-52.68147; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:24] Truck 3: 47.58260,-52.67873; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:29] Truck 0: 47.59628,-52.69355; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:29] Truck 1: 47.58060,-52.68289; Accident=0; Door=0; TempC=19.8
[2018-10-12 16:08:29] Truck 2: 47.58131,-52.68169; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:29] Truck 3: 47.58277,-52.67872; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:34] Truck 0: 47.59705,-52.69485; Accident=0; Door=0; TempC=18.7
[2018-10-12 16:08:34] Truck 1: 47.57982,-52.68474; Accident=0; Door=0; TempC=19.8
[2018-10-12 16:08:34] Truck 2: 47.58085,-52.68243; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:34] Truck 3: 47.58293,-52.67873; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:39] Truck 0: 47.59779,-52.69691; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:39] Truck 1: 47.57830,-52.68957; Accident=1; Door=0; TempC=19.8
[2018-10-12 16:08:39] Truck 2: 47.58060,-52.68289; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:39] Truck 3: 47.58312,-52.67874; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:44] Truck 0: 47.59822,-52.69799; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:44] Truck 1: 47.57830,-52.68957; Accident=1; Door=0; TempC=19.8
[2018-10-12 16:08:44] Truck 2: 47.57982,-52.68474; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:44] Truck 3: 47.58332,-52.67880; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:49] Truck 0: 47.59892,-52.69970; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:49] Truck 1: 47.57830,-52.68957; Accident=1; Door=1; TempC=19.9
[2018-10-12 16:08:49] Truck 2: 47.57953,-52.68561; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:49] Truck 3: 47.58345,-52.67886; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:54] Truck 0: 47.59981,-52.70066; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:54] Truck 1: 47.57830,-52.68957; Accident=1; Door=1; TempC=20.0
[2018-10-12 16:08:54] Truck 2: 47.57830,-52.68957; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:54] Truck 3: 47.58354,-52.67892; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:08:59] Truck 0: 47.60086,-52.70154; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:08:59] Truck 1: 47.57830,-52.68957; Accident=1; Door=1; TempC=20.1
[2018-10-12 16:08:59] Truck 2: 47.57684,-52.69400; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:08:59] Truck 3: 47.58382,-52.67929; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:09:04] Truck 0: 47.60156,-52.70257; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:04] Truck 1: 47.57830,-52.68957; Accident=1; Door=1; TempC=20.2
[2018-10-12 16:09:04] Truck 2: 47.57656,-52.69471; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:09:04] Truck 3: 47.58449,-52.68034; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:09:09] Truck 0: 47.60159,-52.70360; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:09] Truck 1: 47.57830,-52.68957; Accident=1; Door=1; TempC=20.3
[2018-10-12 16:09:09] Truck 2: 47.57602,-52.69585; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:09:09] Truck 3: 47.58469,-52.68067; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:09:14] Truck 0: 47.60138,-52.70580; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:14] Truck 1: 47.57830,-52.68957; Accident=1; Door=1; TempC=20.4
[2018-10-12 16:09:14] Truck 2: 47.57560,-52.69671; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:14] Truck 3: 47.58480,-52.68093; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:09:19] Truck 0: 47.60127,-52.70678; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:19] Truck 1: 47.57830,-52.68957; Accident=1; Door=0; TempC=20.4
[2018-10-12 16:09:19] Truck 2: 47.57469,-52.69696; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:19] Truck 3: 47.58488,-52.68121; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:09:24] Truck 0: 47.60073,-52.70822; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:24] Truck 1: 47.57830,-52.68957; Accident=1; Door=0; TempC=20.4
[2018-10-12 16:09:24] Truck 2: 47.57457,-52.69701; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:24] Truck 3: 47.58492,-52.68150; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:09:29] Truck 0: 47.60006,-52.70941; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:29] Truck 1: 47.57830,-52.68957; Accident=1; Door=0; TempC=20.9
[2018-10-12 16:09:29] Truck 2: 47.57437,-52.69714; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:09:29] Truck 3: 47.58491,-52.68176; Accident=0; Door=0; TempC=19.5
[2018-10-12 16:09:34] Truck 0: 47.59965,-52.71033; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:09:34] Truck 1: 47.57830,-52.68957; Accident=1; Door=0; TempC=20.9
[2018-10-12 16:09:34] Truck 2: 47.57393,-52.69750; Accident=0; Door=0; TempC=18.5
[2018-10-12 16:09:34] Truck 3: 47.58471,-52.68278; Accident=0; Door=1; TempC=19.6
[2018-10-12 16:09:39] Truck 0: 47.59918,-52.71150; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:09:39] Truck 1: 47.57830,-52.68957; Accident=0; Door=0; TempC=20.9
[2018-10-12 16:09:39] Truck 2: 47.57384,-52.69754; Accident=0; Door=0; TempC=19.0
[2018-10-12 16:09:39] Truck 3: 47.58471,-52.68278; Accident=0; Door=1; TempC=19.7
[2018-10-12 16:09:44] Truck 0: 47.59891,-52.71246; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:09:44] Truck 1: 47.57684,-52.69400; Accident=0; Door=0; TempC=20.9
[2018-10-12 16:09:44] Truck 2: 47.57376,-52.69757; Accident=0; Door=0; TempC=19.0
[2018-10-12 16:09:44] Truck 3: 47.58471,-52.68278; Accident=0; Door=1; TempC=19.8
[2018-10-12 16:09:49] Truck 0: 47.59883,-52.71351; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:09:49] Truck 1: 47.57602,-52.69585; Accident=0; Door=0; TempC=21.7
[2018-10-12 16:09:49] Truck 2: 47.57283,-52.69763; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:09:49] Truck 3: 47.58471,-52.68278; Accident=0; Door=1; TempC=19.9
[2018-10-12 16:09:54] Truck 0: 47.59860,-52.71454; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:09:54] Truck 1: 47.57503,-52.69803; Accident=0; Door=0; TempC=21.7
[2018-10-12 16:09:54] Truck 2: 47.57240,-52.69765; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:09:54] Truck 3: 47.58471,-52.68278; Accident=0; Door=1; TempC=20.0
[2018-10-12 16:09:59] Truck 0: 47.59772,-52.71675; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:09:59] Truck 1: 47.57429,-52.69934; Accident=0; Door=0; TempC=21.7
[2018-10-12 16:09:59] Truck 2: 47.57223,-52.69770; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:09:59] Truck 3: 47.58471,-52.68278; Accident=0; Door=1; TempC=20.1
[2018-10-12 16:10:04] Truck 0: 47.59735,-52.71797; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:10:04] Truck 1: 47.57512,-52.70208; Accident=0; Door=0; TempC=21.7
[2018-10-12 16:10:04] Truck 2: 47.57218,-52.69770; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:10:04] Truck 3: 47.58471,-52.68278; Accident=0; Door=0; TempC=20.1
[2018-10-12 16:10:09] Truck 0: 47.59731,-52.71910; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:10:09] Truck 1: 47.57507,-52.70324; Accident=0; Door=0; TempC=21.9
[2018-10-12 16:10:09] Truck 2: 47.57164,-52.69758; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:10:09] Truck 3: 47.58455,-52.68362; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:14] Truck 0: 47.59743,-52.72121; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:10:14] Truck 1: 47.57458,-52.70418; Accident=0; Door=0; TempC=21.9
[2018-10-12 16:10:14] Truck 2: 47.57161,-52.69786; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:10:14] Truck 3: 47.58449,-52.68403; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:19] Truck 0: 47.59727,-52.72224; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:10:19] Truck 1: 47.57343,-52.70786; Accident=0; Door=0; TempC=21.9
[2018-10-12 16:10:19] Truck 2: 47.57084,-52.69745; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:10:19] Truck 3: 47.58447,-52.68430; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:24] Truck 0: 47.59637,-52.72399; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:10:24] Truck 1: 47.57204,-52.70726; Accident=0; Door=0; TempC=21.1
[2018-10-12 16:10:24] Truck 2: 47.57083,-52.69750; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:10:24] Truck 3: 47.58558,-52.68430; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:29] Truck 0: 47.59549,-52.72589; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:10:29] Truck 1: 47.57091,-52.70595; Accident=0; Door=0; TempC=21.6
[2018-10-12 16:10:29] Truck 2: 47.57057,-52.69819; Accident=0; Door=0; TempC=18.3
[2018-10-12 16:10:29] Truck 3: 47.58662,-52.68422; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:34] Truck 0: 47.59668,-52.72724; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:10:34] Truck 1: 47.57008,-52.70706; Accident=0; Door=0; TempC=21.6
[2018-10-12 16:10:34] Truck 2: 47.56959,-52.70047; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:10:34] Truck 3: 47.58717,-52.68421; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:39] Truck 0: 47.59786,-52.72819; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:10:39] Truck 1: 47.56906,-52.70800; Accident=0; Door=0; TempC=21.6
[2018-10-12 16:10:39] Truck 2: 47.56922,-52.70118; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:10:39] Truck 3: 47.58734,-52.68419; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:44] Truck 0: 47.59877,-52.72913; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:10:44] Truck 1: 47.56738,-52.70927; Accident=0; Door=0; TempC=21.6
[2018-10-12 16:10:44] Truck 2: 47.56913,-52.70132; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:10:44] Truck 3: 47.58769,-52.68422; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:49] Truck 0: 47.59947,-52.73020; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:10:49] Truck 1: 47.56692,-52.71017; Accident=0; Door=0; TempC=21.6
[2018-10-12 16:10:49] Truck 2: 47.56853,-52.70197; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:10:49] Truck 3: 47.58782,-52.68426; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:54] Truck 0: 47.59996,-52.73135; Accident=0; Door=0; TempC=19.4
[2018-10-12 16:10:54] Truck 1: 47.56588,-52.71093; Accident=0; Door=0; TempC=21.3
[2018-10-12 16:10:54] Truck 2: 47.56839,-52.70217; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:10:54] Truck 3: 47.58797,-52.68435; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:10:59] Truck 0: 47.60032,-52.73259; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:10:59] Truck 1: 47.56492,-52.71260; Accident=0; Door=0; TempC=21.3
[2018-10-12 16:10:59] Truck 2: 47.56758,-52.70316; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:10:59] Truck 3: 47.58811,-52.68444; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:04] Truck 0: 47.60066,-52.73388; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:11:04] Truck 1: 47.56431,-52.71464; Accident=0; Door=0; TempC=21.3
[2018-10-12 16:11:04] Truck 2: 47.56728,-52.70354; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:11:04] Truck 3: 47.58855,-52.68494; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:09] Truck 0: 47.60155,-52.73732; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:11:09] Truck 1: 47.56405,-52.71573; Accident=0; Door=0; TempC=21.3
[2018-10-12 16:11:09] Truck 2: 47.56674,-52.70422; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:09] Truck 3: 47.58865,-52.68502; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:14] Truck 0: 47.60214,-52.73932; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:11:14] Truck 1: 47.56386,-52.71665; Accident=0; Door=1; TempC=21.4
[2018-10-12 16:11:14] Truck 2: 47.56642,-52.70460; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:14] Truck 3: 47.58986,-52.68579; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:19] Truck 0: 47.60247,-52.74028; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:11:19] Truck 1: 47.56386,-52.71665; Accident=0; Door=1; TempC=21.5
[2018-10-12 16:11:19] Truck 2: 47.56616,-52.70490; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:19] Truck 3: 47.59019,-52.68594; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:24] Truck 0: 47.60289,-52.74115; Accident=0; Door=0; TempC=19.3
[2018-10-12 16:11:24] Truck 1: 47.56386,-52.71665; Accident=0; Door=1; TempC=21.6
[2018-10-12 16:11:24] Truck 2: 47.56591,-52.70453; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:24] Truck 3: 47.59049,-52.68605; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:29] Truck 0: 47.60379,-52.74238; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:11:29] Truck 1: 47.56386,-52.71665; Accident=0; Door=1; TempC=21.7
[2018-10-12 16:11:29] Truck 2: 47.56576,-52.70431; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:29] Truck 3: 47.59131,-52.68628; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:34] Truck 0: 47.60480,-52.74318; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:11:34] Truck 1: 47.56386,-52.71665; Accident=0; Door=1; TempC=21.8
[2018-10-12 16:11:34] Truck 2: 47.56570,-52.70426; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:34] Truck 3: 47.59189,-52.68639; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:39] Truck 0: 47.60658,-52.74380; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:11:39] Truck 1: 47.56386,-52.71665; Accident=0; Door=0; TempC=21.8
[2018-10-12 16:11:39] Truck 2: 47.56562,-52.70423; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:39] Truck 3: 47.59180,-52.68670; Accident=0; Door=0; TempC=20.4
[2018-10-12 16:11:44] Truck 0: 47.60792,-52.74421; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:11:44] Truck 1: 47.56367,-52.71836; Accident=0; Door=0; TempC=21.8
[2018-10-12 16:11:44] Truck 2: 47.56558,-52.70424; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:44] Truck 3: 47.59179,-52.68687; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:11:49] Truck 0: 47.60903,-52.74516; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:11:49] Truck 1: 47.56482,-52.71973; Accident=0; Door=0; TempC=21.8
[2018-10-12 16:11:49] Truck 2: 47.56550,-52.70428; Accident=0; Door=0; TempC=18.2
[2018-10-12 16:11:49] Truck 3: 47.59182,-52.68693; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:11:54] Truck 0: 47.60970,-52.74624; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:11:54] Truck 1: 47.56587,-52.72045; Accident=0; Door=0; TempC=21.8
[2018-10-12 16:11:54] Truck 2: 47.56541,-52.70436; Accident=0; Door=0; TempC=17.9
[2018-10-12 16:11:54] Truck 3: 47.59187,-52.68698; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:11:59] Truck 0: 47.61008,-52.74735; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:11:59] Truck 1: 47.56711,-52.72132; Accident=0; Door=0; TempC=21.8
[2018-10-12 16:11:59] Truck 2: 47.56400,-52.70586; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:11:59] Truck 3: 47.59226,-52.68722; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:12:04] Truck 0: 47.61073,-52.75053; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:12:04] Truck 1: 47.56810,-52.72201; Accident=0; Door=0; TempC=21.8
[2018-10-12 16:12:04] Truck 2: 47.56261,-52.70728; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:12:04] Truck 3: 47.59253,-52.68736; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:12:09] Truck 0: 47.61124,-52.75139; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:12:09] Truck 1: 47.56925,-52.72289; Accident=0; Door=0; TempC=21.8
[2018-10-12 16:12:09] Truck 2: 47.56188,-52.70803; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:12:09] Truck 3: 47.59376,-52.68800; Accident=0; Door=0; TempC=19.6
[2018-10-12 16:12:14] Truck 0: 47.61238,-52.75081; Accident=0; Door=0; TempC=19.8
[2018-10-12 16:12:14] Truck 1: 47.57073,-52.72379; Accident=0; Door=0; TempC=22.1
[2018-10-12 16:12:14] Truck 2: 47.56177,-52.70818; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:12:14] Truck 3: 47.59409,-52.68820; Accident=0; Door=0; TempC=18.7
[2018-10-12 16:12:19] Truck 0: 47.61285,-52.74968; Accident=0; Door=0; TempC=19.8
[2018-10-12 16:12:19] Truck 1: 47.57175,-52.72451; Accident=0; Door=1; TempC=22.2
[2018-10-12 16:12:19] Truck 2: 47.56155,-52.70857; Accident=0; Door=0; TempC=18.8
[2018-10-12 16:12:19] Truck 3: 47.59418,-52.68827; Accident=0; Door=0; TempC=18.7
[2018-10-12 16:12:24] Truck 0: 47.61255,-52.74828; Accident=0; Door=0; TempC=19.8
